name,weight_units,weight_max,price_min,price_max,count_max
Lethrinus olivaceus,kg,25.0,10000.0,50000.0,57.0
Sphyraena qenie,kg,25.0,10000.0,50000.0,36.0
bansi,kg,40.0,35.0,200.0,500.0
danggit,kg,60.0,80.0,160.0,13.0
bontog,kg,7.0,80.0,120.0,7.0
baho baho,kg,100.0,60.0,100.0,
mangagat,kg,4.0,50.0,100.0,25.0
diano,kg,2.0,140.0,180.0,10.0
renger,kg,5.0,40.0,100.0,35.0
Red Snapper,kg,500.0,1.0,1000.0,500.0
Jimy Hind,kg,50.0,10.0,100.0,100.0
Kawali,kg,500.0,1.0,1000.0,500.0
Kingfish,kg,500.0,1.0,1000.0,500.0
King Mackerel,kg,500.0,1.0,1000.0,500.0
Lobster,kg,500.0,1.0,1000.0,500.0
Mahi Mahi,kg,500.0,1.0,1000.0,500.0
Mangrove Snapper,kg,500.0,1.0,1000.0,500.0
Mixed Red,kg,500.0,1.0,1000.0,500.0
Mixed White,kg,500.0,1.0,1000.0,500.0
Mutton Snapper,kg,500.0,1.0,1000.0,500.0
Permit,kg,500.0,1.0,1000.0,500.0
Pompas Jais,kg,500.0,1.0,1000.0,500.0
Yellowtail Snapper,kg,500.0,1.0,1000.0,500.0
tangege,kg,2.0,150.0,250.0,5.0
tangege natural,kg,2.0,150.0,250.0,5.0
Hyporhamphus quoyi,kg,15.0,10000.0,20000.0,30.0
Lutjanus carponotatus,kg,10.0,10000.0,20000.0,30.0
Scarus prasiognathos,kg,45.0,5000.0,50000.0,200.0
Pentapodus bifasciatus,kg,10.0,20000.0,30000.0,30.0
Siganus lineatus,kg,10.0,10000.0,20000.0,150.0
lapu lapu,kg,6.0,150.0,250.0,20.0
tangege dogho,kg,2.0,150.0,250.0,5.0
Diagramma pictum,kg,25.0,10000.0,20000.0,30.0
Scarus rubroviolaceus,kg,30.0,5000.0,20000.0,40.0
Katsuwonus pelamis,kg,10.0,10000.0,20000.0,30.0
Thunnus albacares,kg,150.0,10000.0,100000.0,100.0
Helicolenus barathri,kg,100.0,10000.0,20000.0,30.0
Crenimugil seheli,kg,10.0,15000.0,30000.0,30.0
Cetoscarus ocellatus,kg,300.0,10000.0,30000.0,173.0
Epinephelus faveatus,kg,10.0,40000.0,50000.0,30.0
Epinephelus bleekeri,kg,10.0,30000.0,40000.0,30.0
Lethrinus erythracanthus,kg,25.0,10000.0,30000.0,70.0
Epinephelus coioides,kg,65.0,4000.0,180000.0,30.0
Paracaesio sordida,kg,15.0,5000.0,20000.0,30.0
Cephalopholis aurantia,kg,10.0,20000.0,30000.0,30.0
Lutjanus bengalensis,kg,30.0,15000.0,30000.0,60.0
Macolor macularis,kg,100.0,10000.0,60000.0,30.0
Scomberomorus guttatus,kg,110.0,30000.0,50000.0,30.0
Strongylura incisa,kg,70.0,5000.0,20000.0,100.0
mangodlong,kg,25.0,120.0,200.0,400.0
budloy,kg,5.0,50.0,250.0,20.0
bansikol,kg,15.0,70.0,300.0,150.0
tilapia,kg,9.0,50.0,100.0,50.0
bangus,kg,25.0,40.0,350.0,15.0
bolinao,kg,60.0,40.0,170.0,6000.0
teke teke,kg,130.0,50.0,100.0,900.0
kabase,kg,14.0,100.0,200.0,6.0
Gnathanodon speciosus,kg,50.0,15000.0,50000.0,198.0
Sepioteuthis lessoniana,kg,300.0,20000.0,70000.0,150.0
Drepane longimana,kg,20.0,10000.0,20000.0,30.0
Lethrinus obsoletus,kg,40.0,2000.0,30000.0,800.0
Plectorhinchus flavomaculatus,kg,50.0,10000.0,50000.0,60.0
Sepia pharaonis,kg,130.0,2000.0,80000.0,96.0
Nemipterus balinensoides,kg,70.0,15000.0,50000.0,1000.0
Hipposcarus longiceps,kg,10.0,10000.0,30000.0,190.0
Lutjanus erythropterus,kg,10.0,30000.0,80000.0,30.0
Scarus frenatus,kg,150.0,20000.0,30000.0,80.0
Plectorhinchus gibbosus,kg,30.0,15000.0,30000.0,30.0
Gymnocranius frenatus,kg,35.0,25000.0,40000.0,80.0
Lutjanus rivulatus,kg,20.0,15000.0,30000.0,80.0
Sepia recurvirostra,kg,130.0,2000.0,80000.0,96.0
Scylla serrata,kg,50.0,50000.0,80000.0,100.0
Lethrinus amboinensis,kg,100.0,10000.0,50000.0,100.0
Monodactylus argenteus,kg,100.0,10000.0,50000.0,100.0
Chlorurus bleekeri,kg,45.0,5000.0,30000.0,50.0
Aluterus monoceros,kg,120.0,10000.0,30000.0,200.0
Tylosurus crocodilus,kg,25.0,5000.0,20000.0,30.0
Plectorhinchus chaetodonoides,kg,15.0,10000.0,70000.0,30.0
Platax pinnatus,kg,10.0,5000.0,20000.0,30.0
Chlorurus sordidus,kg,20.0,15000.0,30000.0,30.0
Carangoides malabaricus,kg,350.0,3000.0,40000.0,165.0
Mulloidichthys vanicolensis,kg,15.0,10000.0,20000.0,150.0
Lobotes surinamensis,kg,10.0,5000.0,20000.0,30.0
Symphorichthys spilurus,kg,25.0,10000.0,30000.0,50.0
Gymnothorax javanicus,kg,25.0,5000.0,20000.0,30.0
Lutjanus timoriensis,kg,20.0,50000.0,60000.0,32.0
bilason,kg,18.0,100.0,250.0,50.0
bakase,kg,105.0,20.0,320.0,200.0
lapis,kg,5.0,100.0,350.0,15.0
danget,kg,110.0,100.0,180.0,1500.0
Baga,kg,15.0,90.0,200.0,50.0
Black Snapper,lbs,50.0,,,
Balo,kg,5.0,140.0,200.0,5.0
solid,kg,10.0,150.0,200.0,
Siganus doliatus,kg,100.0,4000.0,20000.0,90.0
Carangoides dinema,kg,10.0,20000.0,30000.0,30.0
Alectis ciliaris,kg,100.0,50000.0,50000.0,96.0
Carangoides chrysophrys,kg,20.0,15000.0,20000.0,30.0
Carangoides ferdau,kg,20.0,15000.0,20000.0,30.0
Caranx tille,kg,480.0,15000.0,30000.0,144.0
Scarus schlegeli,kg,30.0,10000.0,30000.0,86.0
Scarus rivulatus,kg,20.0,5000.0,20000.0,30.0
Lutjanus decussatus,kg,100.0,20000.0,30000.0,150.0
Lethrinus erythropterus,kg,45.0,10000.0,30000.0,164.0
Lutjanus ehrenbergii,kg,15.0,20000.0,40000.0,30.0
Cheilinus trilobatus,kg,10.0,10000.0,20000.0,31.0
Plectorhinchus schotaf,kg,15.0,7000.0,15000.0,30.0
Plectorhinchus lineatus,kg,20.0,5000.0,20000.0,49.0
Lambay (Portunus pelagicus),kg,15.0,250.0,500.0,40.0
Crabs (Portunus pelagicus),kg,15.0,250.0,500.0,40.0
Thenus orientalis,kg,10.0,25000.0,80000.0,30.0
Jurel Ojon,lbs,300.0,15.0,40.0,100.0
Pejepluma,lbs,100.0,15.0,35.0,20.0
King Fish,lbs,60.0,20.0,35.0,
Curbina,lbs,100.0,25.0,40.0,100.0
Tilapia,lbs,20.0,15.0,30.0,
Ronco,lbs,200.0,15.0,35.0,50.0
Pugalo,kg,2.0,150.0,300.0,10.0
Kulambang,kg,5.0,100.0,300.0,5.0
crab,kg,15.0,250.0,500.0,40.0
